CustomerID,Tenure Months,Multiple Lines,Contract,Monthly Charges,Total Charges,Churn Label,Churn Score,CLTV,Churn Reason
3668-QPYBK,2,No,Month-to-month,53.85,108.15,Yes,86,3239,Competitor made better offer
9237-HQITU,2,No,Month-to-month,70.7,151.65,Yes,67,2701,Moved
9305-CDSKC,8,Yes,Month-to-month,99.65,820.5,Yes,86,5372,Moved
7892-POOKP,28,Yes,Month-to-month,104.8,3046.05,Yes,84,5003,Moved
0280-XJGEX,49,Yes,Month-to-month,103.7,5036.3,Yes,89,5340,Competitor had better devices
4190-MFLUW,10,No,Month-to-month,55.2,528.35,Yes,78,5925,Competitor offered higher download speeds
8779-QRDMV,1,No phone service,Month-to-month,39.65,39.65,Yes,100,5433,Competitor offered more data
1066-JKSGK,1,No,Month-to-month,20.15,20.15,Yes,92,4832,Competitor made better offer
6467-CHFZW,47,Yes,Month-to-month,99.35,4749.15,Yes,77,5789,Competitor had better devices
8665-UTDHZ,1,No phone service,Month-to-month,30.2,30.2,Yes,97,2915,Competitor had better devices
8773-HHUOZ,17,No,Month-to-month,64.7,1093.1,Yes,74,3022,Competitor offered higher download speeds
6047-YHPVI,5,No,Month-to-month,69.7,316.9,Yes,66,2454,Competitor offered higher download speeds
5380-WJKOV,34,Yes,Month-to-month,106.35,3549.25,Yes,65,2941,Competitor offered higher download speeds
8168-UQWWF,11,Yes,Month-to-month,97.85,1105.4,Yes,70,5674,Competitor offered more data
7760-OYPDY,2,No,Month-to-month,80.65,144.15,Yes,90,5586,Competitor offered more data
9420-LOJKX,15,No,Month-to-month,99.1,1426.4,Yes,82,2966,Competitor offered more data
7495-OOKFY,8,Yes,Month-to-month,80.65,633.3,Yes,69,5302,Competitor made better offer
1658-BYGOY,18,Yes,Month-to-month,95.45,1752.55,Yes,81,3179,Competitor made better offer
5698-BQJOH,9,Yes,Month-to-month,94.4,857.25,Yes,96,5571,Price too high
5919-TMRGD,1,No,Month-to-month,79.35,79.35,Yes,87,2483,Product dissatisfaction
9191-MYQKX,7,No,Month-to-month,75.15,496.9,Yes,70,3457,Service dissatisfaction
