CustomerID,City,Zip Code,Gender,Senior Citizen,Partner,Dependents
3668-QPYBK,Los Angeles,90003,Male,No,No,No
9237-HQITU,Los Angeles,90005,Female,No,No,Yes
9305-CDSKC,Los Angeles,90006,Female,No,No,Yes
7892-POOKP,Los Angeles,90010,Female,No,Yes,Yes
0280-XJGEX,Los Angeles,90015,Male,No,No,Yes
4190-MFLUW,Los Angeles,90020,Female,No,Yes,No
8779-QRDMV,Los Angeles,90022,Male,Yes,No,No
1066-JKSGK,Los Angeles,90024,Male,No,No,No
6467-CHFZW,Los Angeles,90028,Male,No,Yes,Yes
8665-UTDHZ,Los Angeles,90029,Male,No,Yes,No
8773-HHUOZ,Los Angeles,90032,Female,No,No,No
6047-YHPVI,Los Angeles,90039,Male,No,No,Yes
5380-WJKOV,Los Angeles,90041,Male,No,No,Yes
8168-UQWWF,Los Angeles,90042,Female,No,No,Yes
7760-OYPDY,Los Angeles,90056,Female,No,No,Yes
9420-LOJKX,Los Angeles,90061,Female,No,No,Yes
7495-OOKFY,Los Angeles,90063,Female,Yes,Yes,Yes
1658-BYGOY,Los Angeles,90065,Male,Yes,No,Yes
5698-BQJOH,Beverly Hills,90211,Female,No,No,Yes
5919-TMRGD,Huntington Park,90255,Female,No,No,Yes
9191-MYQKX,Lynwood,90262,Female,No,Yes,Yes
8637-XJIVR,Marina Del Rey,90292,Female,No,No,Yes
0278-YXOOG,Inglewood,90301,Male,No,No,No
4598-XLKNJ,Inglewood,90303,Female,Yes,Yes,Yes
0486-HECZI,Torrance,90504,Male,No,Yes,Yes
4846-WHAFZ,Whittier,90602,Female,Yes,Yes,Yes
5299-RULOA,Whittier,90606,Female,No,Yes,Yes
0404-SWRVG,La Habra,90631,Male,No,No,Yes
4412-YLTKF,Pico Rivera,90660,Female,Yes,No,Yes
6207-WIOLX,Avalon,90704,Female,No,Yes,No
3091-FYHKI,Harbor City,90710,Male,No,No,No
2372-HWUHI,Lakewood,90712,Male,No,No,No
0390-DCFDQ,Los Alamitos,90720,Female,Yes,Yes,Yes
4080-OGPJL,San Pedro,90731,Female,No,No,No
2135-RXIHG,Carson,90745,Male,No,No,No
3874-EQOEP,Long Beach,90804,Male,No,No,Yes
0867-MKZVY,Altadena,91001,Female,No,Yes,Yes
3376-BMGFE,Monrovia,91016,Female,No,No,Yes
3445-HXXGF,Sierra Madre,91024,Male,Yes,Yes,No
1875-QIVME,Tujunga,91042,Female,No,Yes,Yes
2656-FMOKZ,Pasadena,91106,Female,Yes,No,Yes
2070-FNEXE,Pasadena,91107,Female,Yes,No,Yes
6317-YPKDH,Glendale,91202,Female,No,No,No
9367-WXLCH,Glendale,91204,Male,No,No,Yes
1918-ZBFQJ,Glendale,91206,Female,No,No,Yes
1024-GUALD,Glendale,91207,Female,No,Yes,No
2472-OVKUP,Canoga Park,91304,Male,No,Yes,Yes
1285-OKIPP,Mission Hills,91345,Male,No,No,Yes
7825-ECJRF,Santa Clarita,91350,Female,No,No,Yes
7841-TZDMQ,Sun Valley,91352,Male,No,No,No
9408-SSNVZ,Stevenson Ranch,91381,Female,No,No,Yes
0742-MOABM,Panorama City,91402,Male,No,Yes,No
2232-DMLXU,Van Nuys,91411,Female,No,Yes,No
8937-RDTHP,Burbank,91504,Male,No,No,Yes
1251-KRREG,North Hollywood,91601,Male,No,No,No
0094-OIFMO,North Hollywood,91605,Female,Yes,No,Yes
9947-OTFQU,Covina,91722,Male,Yes,No,No
0322-YINQP,Covina,91723,Male,No,No,No
4629-NRXKX,El Monte,91731,Female,No,Yes,No
9514-JDSKI,El Monte,91732,Male,Yes,Yes,No
4959-JOSRX,La Puente,91744,Female,No,Yes,No
7273-TEFQD,La Puente,91746,Male,Yes,No,No
3606-TWKGI,Rowland Heights,91748,Male,Yes,No,No
4385-GZQXV,Ontario,91764,Female,Yes,No,No
6366-ZGQGL,Pomona,91766,Male,No,No,No
5940-AHUHD,Pomona,91768,Male,No,No,No
6432-TWQLB,Rosemead,91770,Male,No,Yes,No
4484-GLZOU,San Dimas,91773,Female,No,Yes,No
9512-UIBFX,West Covina,91791,Male,No,Yes,No
5583-SXDAG,Alhambra,91803,Male,No,Yes,No
3488-PGMQJ,Alpine,91901,Male,Yes,No,No
3580-REOAC,Bonita,91902,Male,No,No,No
7534-BFESC,Boulevard,91905,Male,Yes,No,No
6390-DSAZX,Guatay,91931,Female,No,No,No
8098-LLAZX,Jacumba,91934,Female,Yes,No,No
0265-EDXBD,Mount Laguna,91948,Male,Yes,Yes,No
7563-BIUPC,Borrego Springs,92004,Male,No,No,No
2840-XANRC,Del Mar,92014,Male,Yes,Yes,No
5804-LEPIM,Escondido,92029,Female,Yes,No,No
0122-OAHPZ,Oceanside,92057,Female,No,No,No
2868-SNELZ,Pala,92059,Female,No,No,No
1343-EHPYB,Ranchita,92066,Male,No,Yes,No
2034-GDRCN,Valley Center,92082,Female,No,No,No
0219-YTZUE,San Diego,92103,Male,No,Yes,No
0623-IIHUG,San Diego,92104,Female,Yes,No,No
4572-DVCGN,San Diego,92105,Female,No,No,No
9057-MSWCO,San Diego,92108,Male,Yes,Yes,No
1010-DIAUQ,San Diego,92116,Male,No,No,No
0259-GBZSH,San Diego,92122,Male,No,No,No
9601-BRXPO,San Diego,92129,Female,No,Yes,No
6905-NIQIN,San Diego,92154,Male,No,No,No
5167-ZFFMM,Indio,92201,Male,No,No,No
4895-TMWIR,Indian Wells,92210,Male,Yes,Yes,No
0533-BNWKF,Palm Desert,92211,Female,Yes,Yes,No
6599-CEBNN,Desert Hot Springs,92240,Female,No,No,No
0979-PHULV,Holtville,92250,Male,No,Yes,No
4800-VHZKI,Niland,92257,Female,No,No,No
7989-CHGTL,North Palm Springs,92258,Male,No,No,No
0334-GDDSO,Ocotillo,92259,Male,Yes,No,No
0578-SKVMF,Seeley,92273,Female,No,Yes,No
5564-NEMQO,Thermal,92274,Female,Yes,No,No
9063-ZGTUY,Adelanto,92301,Female,No,Yes,No
2957-LOLHO,Apple Valley,92307,Male,No,No,No
7752-XUSCI,Crestline,92325,Female,No,No,No
4110-PFEUZ,Daggett,92327,Female,No,No,No
0256-LTHVJ,Ludlow,92338,Female,No,Yes,No
0880-TKATG,Lucerne Valley,92356,Male,No,Yes,No
3811-VBYBZ,Lytle Creek,92358,Male,No,No,No
